adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000002488-25-000166	2488	ADVANCED MICRO DEVICES INC	3674	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		(408) 749-4000	US	CA	SANTA CLARA	95054	2485 AUGUSTINE DRIVE		US	DE	941692300			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-04 18:08:00.0	0	1	amd-20250927_htm.xml	1	
0000002969-25-000055	2969	AIR PRODUCTS & CHEMICALS, INC.	2810	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		6104814911	US	PA	ALLENTOWN	18106-5500	1940 AIR PRODUCTS BLVD.		US	DE	231274455	AIR PRODUCTS & CHEMICALS, INC.	20220408	1-LAF	1	0930	10-K	20250930	2025	FY	20251120	2025-11-20 10:21:00.0	0	1	apd-20250930_htm.xml	1	
0000003499-25-000026	3499	ALEXANDERS INC	6798	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		201-587-8541	US	NJ	PARAMUS	07652	210 ROUTE 4 EAST		US	DE	510100517			2-ACC	0	1231	10-Q	20250930	2025	Q3	20251103	2025-11-03 08:42:00.0	0	1	alx-20250930_htm.xml	1	
0000003545-25-000140	3545	ALICO, INC.	0100	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		239-226-2000	US	FL	FT. MYERS,	33913	10070 DANIELS INTERSTATE COURT STE. 100		US	FL	590906081	ALICO INC	19920703	4-NON	0	0930	10-K	20250930	2025	FY	20251124	2025-11-24 16:22:00.0	0	1	alco-20250930_htm.xml	1	
0000003570-25-000107	3570	CHENIERE ENERGY INC	4924	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	7133755000	US	TX	HOUSTON	77002	845 TEXAS AVENUE	SUITE 1250	US	DE	954352386	CHENIERE ENERGY INC	19960827	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251030	2025-10-29 17:36:00.0	0	1	lng-20250930_htm.xml	1	
0000004127-25-000085	4127	SKYWORKS SOLUTIONS INC	3674	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		9492313000	US	CA	IRVINE	92617	5260 CALIFORNIA AVENUE		US	DE	042302115	SKYWORKS SOLUTIONS INC	20020627	1-LAF	1	0930	10-K	20250930	2025	FY	20251107	2025-11-07 16:08:00.0	0	1	swks-20251003_htm.xml	1	
0000004904-25-000171	4904	AMERICAN ELECTRIC POWER CO INC	4911	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		614-716-1000	US	OH	COLUMBUS	43215	1 RIVERSIDE PLAZA		US	NY	134922640	KINGSPORT UTILITIES INC	19660906	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251029	2025-10-29 10:12:00.0	0	1	aep-20250930_htm.xml	8	81027 73986 92487 1702494 50172 1721781 6879
0000004962-25-000222	4962	AMERICAN EXPRESS CO	6199	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	2126402000	US	NY	NEW YORK	10285	200 VESEY STREET	50TH FLOOR	US	NY	134922250			1-LAF	0	1231	10-Q	20250930	2025	Q3	20251017	2025-10-17 12:24:00.0	0	1	axp-20250930_htm.xml	1	
0000005272-25-000160	5272	AMERICAN INTERNATIONAL GROUP, INC.	6331	US	NY	NEW YORK	10020-1304	1271 AVE OF THE AMERICAS	FL 37	2127707000	US	NY	NEW YORK	10020-1304	1271 AVE OF THE AMERICAS	FL 37	US	DE	132592361	AMERICAN INTERNATIONAL GROUP INC	19920703	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251105	2025-11-05 12:43:00.0	0	1	aig-20250930_htm.xml	1	
0000005513-25-000130	5513	UNUM GROUP	6321	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		423-294-1011	US	TN	CHATTANOOGA	37402	1 FOUNTAIN SQUARE		US	DE	621598430	UNUMPROVIDENT CORP	19990702	1-LAF	0	1231	10-Q	20250930	2025	Q3	20251104	2025-11-04 16:19:00.0	0	1	unm-20250930_htm.xml	1	
