name,sic,value,ddate
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,37130.0,20230630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,37130.0,20230630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,37130.0,20230630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,859344.0,20240630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,859344.0,20240630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,859344.0,20240630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,4835167.0,20250630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,4835167.0,20250630
3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,4835167.0,20250630
"ABPRO HOLDINGS, INC.",2836.0,122000.0,20231231
"ABPRO HOLDINGS, INC.",2836.0,122000.0,20231231
"ABPRO HOLDINGS, INC.",2836.0,183000.0,20241231
"ABPRO HOLDINGS, INC.",2836.0,183000.0,20241231
"AELUMA, INC.",3674.0,919000.0,20240630
"AELUMA, INC.",3674.0,919000.0,20240630
"AELUMA, INC.",3674.0,919000.0,20240630
"AELUMA, INC.",3674.0,4665000.0,20250630
"AELUMA, INC.",3674.0,4665000.0,20250630
"AELUMA, INC.",3674.0,4665000.0,20250630
"AGM GROUP HOLDINGS, INC.",7371.0,32044575.0,20241231
"AGM GROUP HOLDINGS, INC.",7371.0,32044575.0,20241231
"AGM GROUP HOLDINGS, INC.",7371.0,68758258.0,20231231
"AGM GROUP HOLDINGS, INC.",7371.0,68758258.0,20231231
"AGM GROUP HOLDINGS, INC.",7371.0,203106017.0,20221231
"AGM GROUP HOLDINGS, INC.",7371.0,203106017.0,20221231
APPLIFE DIGITAL SOLUTIONS INC,7374.0,315130.0,20250630
APPLIFE DIGITAL SOLUTIONS INC,7374.0,315130.0,20250630
APTORUM GROUP LTD,3829.0,431378.0,20231231
APTORUM GROUP LTD,3829.0,431378.0,20231231
APTORUM GROUP LTD,3829.0,1295889.0,20221231
APTORUM GROUP LTD,3829.0,1295889.0,20221231
"ATLASCLEAR HOLDINGS, INC.",6199.0,10856612.0,20250630
"ATLASCLEAR HOLDINGS, INC.",6199.0,10856612.0,20250630
"CLASSOVER HOLDINGS, INC.",8200.0,1070000000.0,20231231
"CLASSOVER HOLDINGS, INC.",8200.0,1070000000.0,20231231
DEVVSTREAM CORP.,6799.0,25794.0,20250731
DEVVSTREAM CORP.,6799.0,25794.0,20250731
"ENVOY MEDICAL, INC.",3842.0,225000.0,20241231
"ENVOY MEDICAL, INC.",3842.0,225000.0,20241231
"ENVOY MEDICAL, INC.",3842.0,225000.0,20241231
"ENVOY MEDICAL, INC.",3842.0,316000.0,20231231
"ENVOY MEDICAL, INC.",3842.0,316000.0,20231231
"ENVOY MEDICAL, INC.",3842.0,316000.0,20231231
FBS GLOBAL LTD,1520.0,10385661.0,20241231
FBS GLOBAL LTD,1520.0,10385661.0,20241231
FBS GLOBAL LTD,1520.0,13847548.0,20241231
FBS GLOBAL LTD,1520.0,13847548.0,20241231
FBS GLOBAL LTD,1520.0,21810317.0,20231231
FBS GLOBAL LTD,1520.0,21810317.0,20231231
IDEA TECH HOLDING LTD,8200.0,4292622.0,20250630
IDEA TECH HOLDING LTD,8200.0,4292622.0,20250630
IDEA TECH HOLDING LTD,8200.0,4577813.0,20240630
IDEA TECH HOLDING LTD,8200.0,4577813.0,20240630
INFINITE GROUP INC,7372.0,6954020.0,20231231
INFINITE GROUP INC,7372.0,6954020.0,20231231
INTERCONT (CAYMAN) LTD,4412.0,25135681.0,20250630
INTERCONT (CAYMAN) LTD,4412.0,25135681.0,20250630
INTERCONT (CAYMAN) LTD,4412.0,25526936.0,20240630
INTERCONT (CAYMAN) LTD,4412.0,25526936.0,20240630
INTERCONT (CAYMAN) LTD,4412.0,32445557.0,20230630
INTERCONT (CAYMAN) LTD,4412.0,32445557.0,20230630
LEXARIA BIOSCIENCE CORP.,2834.0,464278.0,20240831
LEXARIA BIOSCIENCE CORP.,2834.0,464278.0,20240831
LINKAGE GLOBAL INC,5961.0,10289681.0,20240930
LINKAGE GLOBAL INC,5961.0,10289681.0,20240930
LINKAGE GLOBAL INC,5961.0,12733339.0,20230930
LINKAGE GLOBAL INC,5961.0,12733339.0,20230930
LINKAGE GLOBAL INC,5961.0,22028303.0,20220930
LINKAGE GLOBAL INC,5961.0,22028303.0,20220930
"MITESCO, INC.",7370.0,43700.0,20241231
"MITESCO, INC.",7370.0,43700.0,20241231
"NUBURU, INC.",3690.0,152127.0,20241231
"NUBURU, INC.",3690.0,152127.0,20241231
"NUBURU, INC.",3690.0,2085532.0,20231231
"NUBURU, INC.",3690.0,2085532.0,20231231
"ONCOTELIC THERAPEUTICS, INC.",2834.0,70000.0,20231231
"ONCOTELIC THERAPEUTICS, INC.",2834.0,70000.0,20231231
PEDEVCO CORP,1311.0,30784000.0,20231231
PEDEVCO CORP,1311.0,30784000.0,20231231
PEDEVCO CORP,1311.0,39553000.0,20241231
PEDEVCO CORP,1311.0,39553000.0,20241231
QDM INTERNATIONAL INC.,6411.0,6366154.0,20240331
QDM INTERNATIONAL INC.,6411.0,6366154.0,20240331
QDM INTERNATIONAL INC.,6411.0,8381274.0,20250331
QDM INTERNATIONAL INC.,6411.0,8381274.0,20250331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,44555081.0,20230331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,44555081.0,20230331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,46009519.0,20250331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,46009519.0,20250331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,48821619.0,20240331
SKYLINE BUILDERS GROUP HOLDING LTD,1700.0,48821619.0,20240331
TREASURE GLOBAL INC,7389.0,2330557.0,20250630
TREASURE GLOBAL INC,7389.0,2330557.0,20250630
TREASURE GLOBAL INC,7389.0,22066829.0,20240630
TREASURE GLOBAL INC,7389.0,22066829.0,20240630
"VERDE RESOURCES, INC.",1040.0,96584.0,20240630
"VERDE RESOURCES, INC.",1040.0,96584.0,20240630
"VERDE RESOURCES, INC.",1040.0,133202.0,20250630
"VERDE RESOURCES, INC.",1040.0,133202.0,20250630
XINXU COPPER INDUSTRY TECHNOLOGY LTD,3350.0,105874786.0,20240630
