adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,cik,name,sic,cityba,stprba,countryba,form,period,filed,first_digit,zscore,outlier_flag,duplicate_flag
0001213900-25-127141,Revenues,us-gaap/2025,20231231,4,USD,,,37333000.0,,1932737,ROBO.AI INC.,3711.0,DUBAI,,,F-1,20250630,20251231,3,1.4951719044215679,False,False
0001753926-25-002005,Revenues,us-gaap/2025,20250930,4,USD,,,363726.0,,2016167,TRANSIT PRO TECH INC.,7372.0,WEST COVINA,CA,US,10-K,20250930,20251231,3,-0.3204947189824729,False,False
0001213900-25-127141,Revenues,us-gaap/2025,20241231,4,USD,,,11995000.0,,1932737,ROBO.AI INC.,3711.0,DUBAI,,,F-1,20250630,20251231,1,-1.2428686233974917,False,False
0001185185-25-002208,Revenues,us-gaap/2025,20241231,4,USD,,,43700.0,,802257,"MITESCO, INC.",7370.0,VERO BEACH,FL,US,S-1,20250930,20251231,4,-0.8345533917310048,False,True
0001091818-25-000175,Revenues,us-gaap/2025,20240930,4,USD,,,3126148.0,,1362516,"CLEARTRONIC, INC.",4812.0,CLEARWATER,FL,US,10-K,20250930,20251230,3,-1.0,False,False
0001213900-25-126219,Revenues,us-gaap/2025,20230930,4,USD,,,9163101.0,,1806904,EZGO TECHNOLOGIES LTD.,3751.0,WUJIN DISTRICT CHANGZHOU CITY,,CN,20-F,20250930,20251230,9,-1.3887468451013725,False,False
0001213900-25-126219,Revenues,us-gaap/2025,20240930,4,USD,,,18222160.0,,1806904,EZGO TECHNOLOGIES LTD.,3751.0,WUJIN DISTRICT CHANGZHOU CITY,,CN,20-F,20250930,20251230,1,0.46299353974810054,False,False
0001185185-25-002198,Revenues,us-gaap/2025,20230630,4,USD,,,37130.0,,1993097,3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,HONG KONG,,,F-1,20250630,20251230,3,-0.3869702067193206,False,True
0001185185-25-002198,Revenues,us-gaap/2025,20240630,4,USD,,,859344.0,,1993097,3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,HONG KONG,,,F-1,20250630,20251230,8,-0.3864417385758572,False,True
0001185185-25-002198,Revenues,us-gaap/2025,20250630,4,USD,,,4835167.0,,1993097,3 E NETWORK TECHNOLOGY GROUP LTD,7371.0,HONG KONG,,,F-1,20250630,20251230,4,-0.38388632623849833,False,True
0001213900-25-126219,Revenues,us-gaap/2025,20250930,4,USD,,,20486067.0,,1806904,EZGO TECHNOLOGIES LTD.,3751.0,WUJIN DISTRICT CHANGZHOU CITY,,CN,20-F,20250930,20251230,2,0.9257533053532717,False,False
0001091818-25-000175,Revenues,us-gaap/2025,20250930,4,USD,,,4103388.0,,1362516,"CLEARTRONIC, INC.",4812.0,CLEARWATER,FL,US,10-K,20250930,20251230,4,1.0,False,False
0001829126-25-010312,Revenues,us-gaap/2025,20250930,4,USD,,,17000.0,,2041531,BODHI TREE BIOTECHNOLOGY INC,8742.0,DANVILLE,CA,US,10-K,20250930,20251229,1,-0.4646490839360816,False,False
0001477932-25-009202,Revenues,us-gaap/2025,20250930,4,USD,,,19985.0,,1895939,TANICO INC.,7371.0,WHITBY,,CA,10-K,20250930,20251229,1,-0.38698122646152844,False,False
0001185185-25-002183,Revenues,us-gaap/2025,20240930,4,USD,,,332024.0,,1636051,FUSE GROUP HOLDING INC.,1000.0,ARCADIA,CA,US,10-K,20250930,20251229,3,1.0,False,False
0001185185-25-002183,Revenues,us-gaap/2025,20250930,4,USD,,,45942.0,,1636051,FUSE GROUP HOLDING INC.,1000.0,ARCADIA,CA,US,10-K,20250930,20251229,4,-1.0,False,False
0001477932-25-009206,Revenues,us-gaap/2025,20240930,4,USD,,,3440101.0,,1374881,KINGFISH HOLDING CORP,5090.0,BRADENTON,FL,US,10-K,20250930,20251229,3,-1.0,False,False
0001477932-25-009206,Revenues,us-gaap/2025,20250930,4,USD,,,4832489.0,,1374881,KINGFISH HOLDING CORP,5090.0,BRADENTON,FL,US,10-K,20250930,20251229,4,1.0,False,False
0001477932-25-009175,Revenues,us-gaap/2025,20230930,4,USD,,,1401.0,,1114936,UMEWORLD INC.,7372.0,CAUSEWAY BAY,,,20-F,20250930,20251223,1,-0.32057075459410683,False,False
0001477932-25-009175,Revenues,us-gaap/2025,20250930,4,USD,,,2222.0,,1114936,UMEWORLD INC.,7372.0,CAUSEWAY BAY,,,20-F,20250930,20251223,2,-0.32057058230338126,False,False
0001477932-25-009175,Revenues,us-gaap/2025,20240930,4,USD,,,941.0,,1114936,UMEWORLD INC.,7372.0,CAUSEWAY BAY,,,20-F,20250930,20251223,9,-0.3205708511272783,False,False
0001628280-25-058738,Revenues,us-gaap/2024,20240930,4,USD,,,18075000.0,,10048,BARNWELL INDUSTRIES INC,1311.0,HONOLULU,HI,US,10-K,20250930,20251223,1,0.32608211326873243,False,False
0001628280-25-058738,Revenues,us-gaap/2024,20250930,4,USD,,,13697000.0,,10048,BARNWELL INDUSTRIES INC,1311.0,HONOLULU,HI,US,10-K,20250930,20251223,1,0.03776136284939606,False,False
0001634117-25-000038,Revenues,us-gaap/2025,20240430,4,USD,,,1567135000.0,,1634117,"BARNES & NOBLE EDUCATION, INC.",5940.0,BASKING RIDGE,NJ,US,10-K,20250430,20251223,1,0.9727324836544806,False,False
0001640334-25-002367,Revenues,us-gaap/2025,20250630,4,USD,,,133202.0,,1506929,"VERDE RESOURCES, INC.",1040.0,ST. LOUIS,MO,US,S-1,20250930,20251223,1,1.0,False,True
0001640334-25-002367,Revenues,us-gaap/2025,20240630,4,USD,,,96584.0,,1506929,"VERDE RESOURCES, INC.",1040.0,ST. LOUIS,MO,US,S-1,20250930,20251223,9,-1.0,False,True
0001213900-25-124968,Revenues,us-gaap/2025,20250930,4,USD,,,1378149.0,,2050338,COLLAB Z INC.,6500.0,ORINDA,CA,US,10-K,20250930,20251223,1,-1.219356315310818,False,False
0001634117-25-000038,Revenues,us-gaap/2025,20250430,4,USD,,,1610170000.0,,1634117,"BARNES & NOBLE EDUCATION, INC.",5940.0,BASKING RIDGE,NJ,US,10-K,20250430,20251223,1,1.026900708140334,False,False
0001342423-25-000039,Revenues,us-gaap/2025,20231031,4,USD,,,179901000.0,,1342423,LIMONEIRA CO,100.0,SANTA PAULA,CA,US,10-K,20251031,20251223,1,0.21770940232712252,False,False
0001342423-25-000039,Revenues,us-gaap/2025,20241031,4,USD,,,191503000.0,,1342423,LIMONEIRA CO,100.0,SANTA PAULA,CA,US,10-K,20251031,20251223,1,1.1012907289826557,False,False
0001213900-25-125488,Revenues,us-gaap/2025,20250930,4,USD,,,92776.0,,1879373,GRAPHJET TECHNOLOGY,3620.0,WILAYAHPERSEKUTUANKUALA LUMPUR,,MY,10-K,20250930,20251223,9,-1.4009473723903842,False,False
0001342423-25-000039,Revenues,us-gaap/2025,20251031,4,USD,,,159723000.0,,1342423,LIMONEIRA CO,100.0,SANTA PAULA,CA,US,10-K,20251031,20251223,1,-1.3190001313097806,False,False
0001193125-25-331124,Revenues,us-gaap/2025,20241231,4,USD,,,152127.0,,1814215,"NUBURU, INC.",3690.0,DENVER,CO,US,S-1,20250930,20251223,1,-0.7655103592642069,False,True
0001193125-25-331124,Revenues,us-gaap/2025,20231231,4,USD,,,2085532.0,,1814215,"NUBURU, INC.",3690.0,DENVER,CO,US,S-1,20250930,20251223,2,1.2229231352171235,False,True
0001213900-25-124968,Revenues,us-gaap/2025,20240930,4,USD,,,1853585.0,,2050338,COLLAB Z INC.,6500.0,ORINDA,CA,US,10-K,20250930,20251223,1,-1.2187268682651664,False,False
